pokedexNumber,pokemon,form,originRegionToCatchIn,originGamesToCatchIn,notes,spriteKey
37,Vulpix,Alolan,Alola,Sun/Ultra Sun,,10103
38,Ninetales,,Kanto,Blue/Yellow/LG: Eevee,,38
38,Ninetales,Alolan,Alola,Sun/Ultra Sun,,10104
39,Jigglypuff,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,39
40,Wigglytuff,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,40
41,Zubat,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Crobat),41
41,Zubat,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,41
42,Golbat,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,42
42,Golbat,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,42
43,Oddish,,Kanto,Red/Yellow/LG: Pikachu,Catch 2 (one for Bellossom),43
44,Gloom,,Kanto,Red/Yellow/LG: Pikachu,,44
44,Gloom,Female,Kanto,Red/Yellow/LG: Pikachu,,44
45,Vileplume,,Kanto,Red/Yellow/LG: Pikachu,,45
45,Vileplume,Female,Kanto,Red/Yellow/LG: Pikachu,,45
46,Paras,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,46
47,Parasect,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,47
48,Venonat,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,48
49,Venomoth,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,49
50,Diglett,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,50
50,Diglett,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10105
51,Dugtrio,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,51
51,Dugtrio,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10106
52,Meowth,,Kanto,Blue/LG: Eevee,,52
52,Meowth,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10107
52,Meowth,Galarian,Galar,Sword/Shield,,10161
53,Persian,,Kanto,Blue/LG: Eevee,,53
53,Persian,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10108
54,Psyduck,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,54
55,Golduck,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,55
56,Mankey,,Kanto,Red/Yellow/LG: Pikachu,Catch 2 (one for Annihilape),56
57,Primeape,,Kanto,Red/Yellow/LG: Pikachu,,57
58,Growlithe,,Kanto,Red/Yellow/LG: Pikachu,,58
58,Growlithe,Hisuian,Hisui,Legends: Arceus,,10229
59,Arcanine,,Kanto,Red/Yellow/LG: Pikachu/LG: Eevee,,59
59,Arcanine,Hisuian,Hisui,Legends: Arceus,,10230
60,Poliwag,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 3 (Politoed both genders),60
61,Poliwhirl,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,61
62,Poliwrath,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,62
63,Abra,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,63
64,Kadabra,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,64
64,Kadabra,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,64
65,Alakazam,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,65
65,Alakazam,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,65
66,Machop,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,66
67,Machoke,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,67
68,Machamp,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,68
69,Bellsprout,,Kanto,Blue/Yellow/LG: Eevee,,69
70,Weepinbell,,Kanto,Blue/Yellow/LG: Eevee,,70
71,Victreebel,,Kanto,Blue/Yellow/LG: Eevee,,71
72,Tentacool,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,72
73,Tentacruel,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,73
74,Geodude,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,74
74,Geodude,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10109
75,Graveler,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,75
75,Graveler,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10110
76,Golem,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,76
76,Golem,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,,10111
77,Ponyta,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,77
77,Ponyta,Galarian,Galar,Shield,,10162
78,Rapidash,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,78
78,Rapidash,Galarian,Galar,Shield,,10163
79,Slowpoke,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for slowking),79
79,Slowpoke,Galarian,Galar,Sword/Shield,,10164
80,Slowbro,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,80
80,Slowbro,Galarian,Galar,Sword/Shield,,10165
81,Magnemite,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Magnezone),81
82,Magneton,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,82
83,Farfetch’d,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,83
83,Farfetch’d,Galarian,Galar,Sword,,10166
84,Doduo,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,84
84,Doduo,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,84
85,Dodrio,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,85
85,Dodrio,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,85
86,Seel,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,86
87,Dewgong,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,87
88,Grimer,,Kanto,Red/Blue/Yellow/LG: Pikachu,,88
88,Grimer,Alolan,Alola,Ultra Sun,,10112
89,Muk,,Kanto,Red/Blue/Yellow/LG: Pikachu,,89
89,Muk,Alolan,Alola,Ultra Sun,,10113
90,Shellder,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,90
91,Cloyster,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,91
92,Gastly,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,92
93,Haunter,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,93
94,Gengar,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,94
95,Onix,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 3 (Steelix male and female),95
96,Drowzee,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,96
97,Hypno,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,97
97,Hypno,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,97
98,Krabby,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,98
99,Kingler,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,99
100,Voltorb,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,100
100,Voltorb,Hisuian,Hisui,Legends: Arceus,,10231
101,Electrode,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,101
101,Electrode,Hisuian,Hisui,Legends: Arceus,,10232
102,Exeggcute,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,102
103,Exeggutor,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,103
103,Exeggutor,Alolan,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,10114
104,Cubone,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Alola),104
105,Marowak,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,105
105,Marowak,Alolan,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,10115
106,Hitmonlee,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,106
107,Hitmonchan,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,107
108,Lickitung,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Lickilicky),108
109,Koffing,,Kanto,Red/Blue/LG: Eevee,Catch 2 (one for Galar),109
110,Weezing,,Kanto,Red/Blue/LG: Eevee,,110
110,Weezing,Galarian,Kanto,Red/Blue/LG: Eevee,,10167
111,Rhyhorn,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Rhyperior),111
111,Rhyhorn,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Female Catch 2 (one for Rhyperior),111
112,Rhydon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,112
112,Rhydon,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,112
113,Chansey,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Blissey),113
114,Tangela,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 3 (Tangrowth both genders),114
115,Kangaskhan,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,115
116,Horsea,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Kingdra),116
117,Seadra,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,117
118,Goldeen,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,118
118,Goldeen,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,118
119,Seaking,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,119
119,Seaking,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,119
120,Staryu,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,120
121,Starmie,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,121
122,Mr. Mime,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,122
122,Mr. Mime,Galarian,Galar,Sword/Shield,,10168
123,Scyther,,Kanto,Red/Yellow/LG: Pikachu,Catch 3 (one each for Scizor and Kleavor),123
123,Scyther,Female,Kanto,Red/Yellow/LG: Pikachu,Female Catch 2 (one for scizor),123
124,Jynx,,Kanto,Red/Blue/LG: Pikachu/LG: Eevee,,124
125,Electabuzz,,Kanto,Red/LG: Pikachu/LG: Eevee,Catch 2 (one for Electrivire),125
126,Magmar,,Kanto,Blue/LG: Pikachu/LG: Eevee,Catch 2 (one for Magmortar),126
127,Pinsir,,Kanto,Blue/Yellow/LG: Eevee,,127
128,Tauros,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,128
128,Tauros,Paldean,Paldea,Scarlet/Violet,,10250
128,Tauros,Paldean-Fire,Paldea,Scarlet,,10251
128,Tauros,Paldean-Water,Paldea,Violet,,10252
129,Magikarp,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,129
129,Magikarp,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,129
130,Gyarados,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,130
130,Gyarados,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,130
131,Lapras,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,131
132,Ditto,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,132
133,Eevee,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 9 (one each for Eeveelutions),133
133,Eevee,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,133
134,Vaporeon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,134
135,Jolteon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,135
136,Flareon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,136
137,Porygon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,137
138,Omanyte,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,138
139,Omastar,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,139
140,Kabuto,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,140
141,Kabutops,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,141
142,Aerodactyl,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,142
143,Snorlax,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,143
144,Articuno,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,144
144,Articuno,Galarian,Galar,Sword/Shield,,10169
145,Zapdos,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,145
145,Zapdos,Galarian,Galar,Sword/Shield,,10170
146,Moltres,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,146
146,Moltres,Galarian,Galar,Sword/Shield,,10171
147,Dratini,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,147
148,Dragonair,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,148
149,Dragonite,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,149
150,Mewtwo,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,150
151,Mew,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,151
152,Chikorita,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,152
153,Bayleef,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,153
154,Meganium,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,154
154,Meganium,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,154
155,Cyndaquil,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,155
156,Quilava,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,156
157,Typhlosion,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,157
157,Typhlosion,Hisuian,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,10233
158,Totodile,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,158
159,Croconaw,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,159
160,Feraligatr,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,160
161,Sentret,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,161
162,Furret,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,162
163,Hoothoot,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,163
164,Noctowl,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,164
165,Ledyba,,Johto,Silver/Crystal/Soul Silver,,165
165,Ledyba,Female,Johto,Silver/Crystal/Soul Silver,,165
166,Ledian,,Johto,Silver/Crystal/Soul Silver,,166
166,Ledian,Female,Johto,Silver/Crystal/Soul Silver,,166
167,Spinarak,,Johto,Gold/Crystal/Heart Gold,,167
168,Ariados,,Johto,Gold/Crystal/Heart Gold,,168
169,Crobat,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,169
170,Chinchou,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,170
171,Lanturn,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,171
172,Pichu,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,172
173,Cleffa,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,173
174,Igglybuff,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,174
175,Togepi,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch 2 (one for togekiss),175
176,Togetic,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,176
177,Natu,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,177
178,Xatu,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,178
178,Xatu,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,178
179,Mareep,,Johto,Gold/Silver/Heart Gold/Soul Silver,,179
180,Flaaffy,,Johto,Gold/Silver/Heart Gold/Soul Silver,,180
181,Ampharos,,Johto,Gold/Silver/Heart Gold/Soul Silver,,181
182,Bellossom,,Kanto,Red/Yellow/LG: Pikachu,,182
183,Marill,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,183
184,Azumarill,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,184
185,Sudowoodo,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,185
185,Sudowoodo,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,185
186,Politoed,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,186
186,Politoed,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,186
187,Hoppip,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,187
188,Skiploom,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,188
189,Jumpluff,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,189
190,Aipom,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch 2 (one for ambipom),190
190,Aipom,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Female Catch 2 (one for ambipom),190
191,Sunkern,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,191
192,Sunflora,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,192
193,Yanma,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch 2 (one for Yanmega),193
194,Wooper,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,194
194,Wooper,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,194
194,Wooper,Paldean,Paldea,Scarlet/Violet,,10253
195,Quagsire,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,195
195,Quagsire,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,195
196,Espeon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,196
197,Umbreon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,197
198,Murkrow,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch 2 (one for Honchcrow),198
198,Murkrow,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,198
199,Slowking,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,,199
199,Slowking,Galarian,Galar,Sword/Shield,,10172
200,Misdreavus,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch 2 (one for Mismagius),200
201,Unown,A,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-a
201,Unown,B,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-b
201,Unown,C,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-c
201,Unown,D,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-d
201,Unown,E,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-e
201,Unown,F,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-f
201,Unown,G,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-g
201,Unown,H,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-h
201,Unown,I,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-i
201,Unown,J,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-j
201,Unown,K,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-k
201,Unown,L,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-l
201,Unown,M,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-m
201,Unown,N,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-n
201,Unown,O,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-o
201,Unown,P,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-p
201,Unown,Q,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-q
201,Unown,R,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-r
201,Unown,S,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-s
201,Unown,T,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-t
201,Unown,U,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-u
201,Unown,V,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-v
201,Unown,W,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-w
201,Unown,X,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-x
201,Unown,Y,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-y
201,Unown,Z,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,201-z
201,Unown,!,Johto,Heart Gold/Soul Silver/Heart Gold/Soul Silver,,201-exclamation
201,Unown,?,Johto,Heart Gold/Soul Silver/Heart Gold/Soul Silver,,201-question
202,Wobbuffet,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,202
202,Wobbuffet,Female,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,202
203,Girafarig,,Johto,Gold/Silver/Heart Gold/Soul Silver,Catch 2 (one for Farigiraf),203
203,Girafarig,Female,Johto,Gold/Silver/Heart Gold/Soul Silver,,203
204,Pineco,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,204
205,Forretress,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,,205
206,Dunsparce,,Johto,Gold/Silver/Crystal/Heart Gold/Soul Silver,Catch as many as you can (for Dudunsparce 2 and 3 segment),206
207,Gligar,,Johto,Gold/Crystal/Heart Gold,Catch 2 (one for Gliscor),207
207,Gligar,Female,Johto,Gold/Crystal/Heart Gold,,207
