pokedexNumber,name,form,games,regionalNumber
61,Poliwhirl,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,61
62,Poliwrath,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,62
63,Abra,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,63
64,Kadabra,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,64
64,Kadabra,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
65,Alakazam,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,65
65,Alakazam,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
66,Machop,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,66
67,Machoke,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,67
68,Machamp,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,68
69,Bellsprout,,Blue|Yellow|LG: Eevee,69
70,Weepinbell,,Blue|Yellow|LG: Eevee,70
71,Victreebel,,Blue|Yellow|LG: Eevee,71
72,Tentacool,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,72
73,Tentacruel,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,73
74,Geodude,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,74
75,Graveler,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,75
76,Golem,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,76
77,Ponyta,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,77
78,Rapidash,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,78
79,Slowpoke,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,79
80,Slowbro,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,80
81,Magnemite,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,81
82,Magneton,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,82
83,Farfetch’d,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,83
84,Doduo,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,84
84,Doduo,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
85,Dodrio,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,85
85,Dodrio,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
86,Seel,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,86
87,Dewgong,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,87
88,Grimer,,Red|Blue|Yellow|LG: Pikachu,88
89,Muk,,Red|Blue|Yellow|LG: Pikachu,89
90,Shellder,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,90
91,Cloyster,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,91
92,Gastly,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,92
93,Haunter,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,93
94,Gengar,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,94
95,Onix,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,95
96,Drowzee,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,96
97,Hypno,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,97
97,Hypno,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
98,Krabby,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,98
99,Kingler,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,99
100,Voltorb,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,100
101,Electrode,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,101
102,Exeggcute,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,102
103,Exeggutor,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,103
104,Cubone,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,104
105,Marowak,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,105
106,Hitmonlee,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,106
107,Hitmonchan,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,107
108,Lickitung,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,108
109,Koffing,,Red|Blue|LG: Eevee,109
110,Weezing,,Red|Blue|LG: Eevee,110
111,Rhyhorn,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,111
111,Rhyhorn,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
112,Rhydon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,112
112,Rhydon,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
113,Chansey,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,113
114,Tangela,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,114
115,Kangaskhan,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,115
116,Horsea,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,116
117,Seadra,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,117
118,Goldeen,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,118
118,Goldeen,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
119,Seaking,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,119
119,Seaking,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
120,Staryu,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,120
121,Starmie,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,121
122,Mr. Mime,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,122
123,Scyther,,Red|Yellow|LG: Pikachu,123
123,Scyther,Female,Red|Yellow|LG: Pikachu,
124,Jynx,,Red|Blue|LG: Pikachu|LG: Eevee,124
125,Electabuzz,,Red|LG: Pikachu|LG: Eevee,125
126,Magmar,,Blue|LG: Pikachu|LG: Eevee,126
127,Pinsir,,Blue|Yellow|LG: Eevee,127
128,Tauros,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,128
129,Magikarp,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,129
129,Magikarp,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
130,Gyarados,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,130
130,Gyarados,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
131,Lapras,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,131
132,Ditto,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,132
133,Eevee,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,133
133,Eevee,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
134,Vaporeon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,134
135,Jolteon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,135
136,Flareon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,136
137,Porygon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,137
138,Omanyte,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,138
139,Omastar,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,139
140,Kabuto,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,140
141,Kabutops,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,141
142,Aerodactyl,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,142
143,Snorlax,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,143
144,Articuno,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,144
145,Zapdos,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,145
146,Moltres,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,146
147,Dratini,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,147
148,Dragonair,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,148
149,Dragonite,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,149
150,Mewtwo,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,150
151,Mew,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,151
