pokedexNumber,name,form,originGames,regionalDexGames,regionalNumber
265,Wurmple,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,014
266,Silcoon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,015
267,Beautifly,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,016
267,Beautifly,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,016
268,Cascoon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,017
269,Dustox,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,018
269,Dustox,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,018
270,Lotad,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,019
271,Lombre,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,020
272,Ludicolo,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,021
273,Seedot,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,022
274,Nuzleaf,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,023
275,Shiftry,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,024
276,Taillow,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,025
277,Swellow,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,026
278,Wingull,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,027
279,Pelipper,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,028
280,Ralts,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,029
281,Kirlia,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,030
282,Gardevoir,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,031
283,Surskit,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,032
284,Masquerain,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,033
285,Shroomish,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,034
286,Breloom,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,035
287,Slakoth,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,036
288,Vigoroth,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,037
289,Slaking,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,038
290,Nincada,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,039
291,Ninjask,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,040
292,Shedinja,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,041
293,Whismur,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,042
294,Loudred,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,043
295,Exploud,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,044
296,Makuhita,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,045
297,Hariyama,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,046
298,Azurill,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,047
299,Nosepass,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,048
300,Skitty,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,049
301,Delcatty,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,050
302,Sableye,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,051
302,Sableye,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,051
303,Mawile,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,052
303,Mawile,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,052
304,Aron,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,053
305,Lairon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,054
306,Aggron,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,055
307,Meditite,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,056
308,Medicham,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,057
308,Medicham,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,057
309,Electrike,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,058
310,Manectric,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,059
311,Plusle,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,060
312,Minun,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,061
313,Volbeat,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,062
314,Illumise,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,063
315,Roselia,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,064
316,Gulpin,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,065
317,Swalot,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,066
318,Carvanha,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,067
319,Sharpedo,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,068
320,Wailmer,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,069
321,Wailord,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,070
322,Numel,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,071
323,Camerupt,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,072
324,Torkoal,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,073
325,Spoink,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,074
326,Grumpig,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,075
327,Spinda,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,076
328,Trapinch,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,077
329,Vibrava,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,078
330,Flygon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,079
331,Cacnea,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,080
332,Cacturne,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,081
333,Swablu,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,082
334,Altaria,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,083
335,Zangoose,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,084
336,Seviper,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,085
337,Lunatone,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,086
338,Solrock,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,087
339,Barboach,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,088
340,Whiscash,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,089
341,Corphish,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,090
342,Crawdaunt,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,091
343,Baltoy,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,092
344,Claydol,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,093
345,Lileep,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,094
346,Cradily,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,095
347,Anorith,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,096
348,Armaldo,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,097
349,Feebas,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,098
350,Milotic,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,099
351,Castform,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,100
351,Castform,Sunny,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,100
351,Castform,Rainy,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,100
351,Castform,Snowy,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,100
352,Kecleon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,101
353,Shuppet,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,102
354,Banette,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,103
355,Duskull,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,104
356,Dusclops,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,105
357,Tropius,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,106
358,Chimecho,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,107
359,Absol,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,108
359,Absol,Female,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,108
360,Wynaut,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,109
361,Snorunt,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,110
362,Glalie,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,111
363,Spheal,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,112
364,Sealeo,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,113
365,Walrein,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,114
366,Clamperl,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,115
367,Huntail,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,116
368,Gorebyss,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,117
369,Relicanth,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,118
370,Luvdisc,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,119
371,Bagon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,120
372,Shelgon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,121
373,Salamence,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,122
374,Beldum,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,123
375,Metang,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,124
376,Metagross,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,125
377,Regirock,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,126
378,Regice,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,127
379,Registeel,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,128
380,Latias,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,129
381,Latios,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,130
382,Kyogre,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,131
383,Groudon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,132
384,Rayquaza,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,133
385,Jirachi,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,134
386,Deoxys,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,135
386,Deoxys,Attack,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,135
386,Deoxys,Defense,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,135
386,Deoxys,Speed,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,135
