pokedexNumber,name,form,originGames,regionalDexGames,regionalNumber
416,Vespiquen,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,030
417,Pachirisu,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,031
418,Buizel,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,032
419,Floatzel,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,033
420,Cherubi,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,034
421,Cherrim,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,035
421,Cherrim,Overcast,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,035
421,Cherrim,Sunshine,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,035
422,Shellos,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,036
422,Shellos,West Sea,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,036
422,Shellos,East Sea,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,036
423,Gastrodon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,037
423,Gastrodon,West Sea,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,037
423,Gastrodon,East Sea,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,037
424,Ambipom,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,038
425,Drifloon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,039
426,Drifblim,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,040
427,Buneary,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,041
428,Lopunny,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,042
429,Mismagius,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,043
430,Honchkrow,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,044
431,Glameow,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,045
432,Purugly,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,046
433,Chingling,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,047
434,Stunky,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,048
435,Skuntank,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,049
436,Bronzor,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,050
437,Bronzong,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,051
438,Bonsly,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,052
439,Mime Jr.,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,053
440,Happiny,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,054
441,Chatot,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,055
442,Spiritomb,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,056
443,Gible,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,057
444,Gabite,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,058
445,Garchomp,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,059
446,Munchlax,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,060
447,Riolu,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,061
448,Lucario,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,062
449,Hippopotas,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,063
450,Hippowdon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,064
451,Skorupi,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,065
452,Drapion,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,066
453,Croagunk,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,067
454,Toxicroak,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,068
455,Carnivine,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,069
456,Finneon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,070
457,Lumineon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,071
458,Mantyke,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,072
459,Snover,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,073
460,Abomasnow,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,074
461,Weavile,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,075
462,Magnezone,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,076
463,Lickilicky,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,077
464,Rhyperior,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,078
465,Tangrowth,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,079
466,Electivire,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,080
467,Magmortar,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,081
468,Togekiss,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,082
469,Yanmega,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,083
470,Leafeon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,084
471,Glaceon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,085
472,Gliscor,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,086
473,Mamoswine,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,087
474,Porygon-Z,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,088
475,Gallade,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,089
476,Probopass,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,090
477,Dusknoir,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,091
478,Froslass,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,092
479,Rotom,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
479,Rotom,Heat,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
479,Rotom,Wash,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
479,Rotom,Frost,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
479,Rotom,Fan,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
479,Rotom,Mow,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,093
480,Uxie,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,094
481,Mesprit,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,095
482,Azelf,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,096
483,Dialga,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,097
484,Palkia,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,098
485,Heatran,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,099
486,Regigigas,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,100
487,Giratina,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,101
487,Giratina,Origin,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,101
488,Cresselia,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,102
489,Phione,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,103
490,Manaphy,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,104
491,Darkrai,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,105
492,Shaymin,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,106
492,Shaymin,Sky,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,106
493,Arceus,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Fighting,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Flying,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Poison,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Ground,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Rock,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Bug,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Ghost,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Steel,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Fire,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Water,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Grass,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Electric,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Psychic,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Ice,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Dragon,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
493,Arceus,Dark,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,107
